,tag,sample.number,partner.sample,substrate,site,species,rh,dbh,growth.per.yr,elevation,latitude,longitude,L.C,L.N,L.P,K.P,L.S,L.Ca,L.Mg,L.Mn,L.Cu,L.Zn,L.B,L.Mo,L.Na,L.Fe,moist,rocks,C,N,OM.new,CN.ratio,NO3,pH,P,K,Mn,Cu,Zn,Fe,B,Ca,Mg,CEC
Needles-D5,7,69,214,needle,rs05,tabr,60,34.5,0.095216371,920,44.222,122.202,48.874,0.793,0.081295312,0.180666989,0,0.398356694,0.131996133,877.7187047,2.41662639,28.03286612,12.08313195,0.483325278,107.2982117,42.04929918,55.78947368,6.309409888,4.723,0.23,9.446,20.53478261,0.398250556,5.84,29.8,114.9,91.6,1.4,2.9,91.7,0.398406375,2.4575,0.84,3.592115385
Needles-F1,15,8,293,needle,rs05,tabr,60,27.1,0,920,44.222,122.202,48.49,0.806,0.07643876,0.038760453,0.096,0.438760453,0.152582391,628.13576,2.951303492,20.65912445,11.31333005,0.491883915,69.35563207,46.23708805,80.48780488,2.461197339,8.622,0.337,17.244,25.58456973,1.353658537,6.08,77.61904762,155.047619,214.1904762,0.952380952,3.428571429,274.8571429,0.869565217,7.618571429,1.073809524,9.08993895
Needles-F8,18,103,201,needle,rs05,tabr,60,10.1,0.076173097,920,44.222,122.202,48.681,0.822,0.074353974,0.116626036,0.093,0.486786933,0.122233057,733.7883959,2.925402243,37.05509508,13.16431009,na,56.07020965,27.30375427,63.63636364,7.505930776,7.271,0.263,14.542,27.64638783,0.93974026,6.07,39.80952381,93.61904762,120.1904762,0.761904762,2.476190476,133.1428571,0.983606557,1.263333333,0.373015873,1.876398046
C3,114,230,na,soil,rs08,tabr,57,7.9,0.137118724,500,44.202,122.256,na,na,na,na,na,na,na,na,na,na,na,na,na,na,200,53.02250804,29.34,0.837,58.68,35.05376344,1.117285714,5.17,63.1,149.6,128,1.3,5.9,211.5,1.904761905,9.024,1.22,10.62758974
C7,4058,289,16,soil,rs08,psme,57,10.4,0.049988595,500,44.202,122.256,46.27,0.746,0.203930131,0.31426492,0.106,0.550557982,0.083357593,217.85541,2.426006793,7.278020378,5.822416303,0,109.1703057,38.81610869,70.73170732,40.38029525,16.774,0.582,33.548,28.82130584,0.689659911,5.89,114.8,185.3,156.1,2,4,306.8,1.649484536,13.4225,2.034166667,15.93179487
D1,19,204,81,soil,rs08,tabr,57,8.4,0.016662865,500,44.202,122.256,47.648,1.236,0.121805624,0.033941786,0.128,0.738480513,0.193191909,231.3764184,4.933399112,22.69363592,14.80019734,0.493339911,44.89393192,72.02762704,100,50.29077118,16.426,0.476,32.852,34.50840336,1.394366197,6.03,52.9,167,124.6,1.2,4.7,207.4,1.490196078,10.4155,1.778333333,12.62203846
E1,32,203,114,soil,rs08,psme,57,9.7,0.09997719,500,44.202,122.256,46.542,0.84,0.124663677,0.265022422,0.108,0.685849527,0.130044843,258.0966617,1.494768311,8.968609865,8.968609865,na,49.32735426,40.35874439,49.23076923,19.32254376,5.561,0.234,11.122,23.76495726,0.379259341,6.42,58.57142857,132.8571429,32.57142857,0.857142857,1.333333333,153.8095238,0.99009901,6.564761905,1.180952381,8.086373626
E7,251,287,12,soil,rs08,tshe,57,25.5,0.416571624,500,44.202,122.256,46.03,0.935,0.224317618,0.233498759,0.11,0.561091811,0.111414392,490.3225806,5.955334988,5.955334988,17.36972705,0.496277916,118.6104218,56.07940447,214.0495868,0,16.796,0.597,33.592,28.13400335,1.179031877,6.1,28.27272727,116.2727273,116.8181818,1.909090909,5,117,3.947368421,12.97909091,2.604545455,15.88177156
G4,78,241,117,soil,rs08,tabr,57,13.5,-0.049988595,500,44.202,122.256,45.876,2.292,0.090983213,0.269928058,0.168,0.600719424,0.113189448,383.2134293,2.398081535,31.65467626,8.633093525,na,47.9616307,27.8177458,53.39233038,31.15591815,5.327,0.223,10.654,23.88789238,0.661099339,6.25,28,98.95238095,65.52380952,0.952380952,2.380952381,161.2380952,0.664652568,8.05952381,1.565079365,9.878327228
H7,38,264,na,soil,rs08,psme,57,34,0.233280109,500,44.202,122.256,na,na,na,na,na,na,na,na,na,na,na,na,na,na,67.6300578,19.29858649,9.236,0.314,18.472,29.41401274,0.411519987,6.48,20.66666667,123.9047619,63.52380952,1.142857143,1.904761905,212.0952381,0.823970037,6.976666667,2.711111111,10.0054823
